Manca formazione di aggiornamento circa i rischi connessi all'uso dei prodotti chimici,Missing update education about the risks associated with the use of chemicals
Manca formazione di aggiornamento su ergonomia e MMC,Missing upgrade education on ergonomics and MMC
Manca formazione di aggiornamento sull'emergenza,Missing update training on emergency
Manca formalizzazione specifica sui rischi di impianti di verniciatura,Lacking formalization specification on the risks of coating plants
Manca formazione di aggiornamento all'uso di macchine/impianti/attrezzature,Missing update training at use of machines/systems/equipment
Postazione di lavoro leggermente in disordine,Workstation slightly messed up
Postazione di lavoro leggermente in disordine,Workstation slightly messed up
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Doll System leggermente in disordine,Doll System slightly messed up
Un operatore non indossa correttamente il berretto di protezione del capo ,An operator is not wearing proper head protection Cap 
Mancato utilizzo dello sgabello ergonomico (qaundo previsto),Non-use of the stool (when applicable)
Mancato utilizzo della pedana / scaletta per accedere all'interno cabina,Loss of use of the platform/ladder to access the cockpit
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Portiera cabina lasciata aperta in assenza dell'operatore,Cabin door left open in the absence of the operator
Materiale di produzione appoggianto in modo precario su di un contenitore,Production material appoggianto precariously on a container
Utilizzo di bussola modificata con chiave dinamometrica ,Using modified compass with a torque wrench 
Mancato uso degli occhiali durante l'impiego dell'avvitatore,Failing to wear goggles when using the screwdriver
Tubazione aria compressa a terra,Compressed air pipe to the ground
Migliorabile ordine dell'area (canna dell'aria lasciata a terra),Improved order of air (air barrel left ashore)
L'operatore movimenta il longherone con il carroponte senza accompagnarlo con la mano,The operator moves the spar with the crane without drive him with his hand
L'addetto non indossa gli ortoprotettori durante attività geneneranti rumore,The guy is not wearing the ortoprotettori during business geneneranti noise
Banco di lavoro in disordine,Messy work bench
Canne dell'aria lasciate a terra quando non in uso,Air canes left on the ground when not in use
Migliorabili ordine e pulizia dell'area,Improved order and cleanliness of the area
Attrezzatura sottogancio lasciata a terra,Lifting equipment left on the ground
Carrello Kit depositato su percorso pedonale lungo il trasporto verso postazione n°2,Cart Kit deposited on pedestrian path along the transport to station No. 2
Non rintraccia immediatamente le OPL Safety di postazione,Do not locate immediately the OPL Safety of emplacement
Presenza di materiale di produzione mal riposto (tubolari metallici),Presence of production material misplaced (metal tubes)
DPI ortoprotettore indossato non correettamente,DPI ortoprotettore correettamente not worn
Occhiali protettivi non indossati correttamente,Goggles not worn correctly
Il tappeto assorbente posto sul pavimento impianto T3 usurato,The absorbent mat placed on the floor worn T3 system
L'attrezzo adibito al lavaggio degli aerografi non sempre viene utilizzato,The tool used for the washing of Airbrushes not always uses
Attrezzo lavaggio aerografi non sempre utilizzato,Do not spray cleaning tool always used
La maschera di verniciatura non sempre viene riposta correttamente nella propria confezione quando non utilizzata,Paint mask not always is placed correctly in its packaging when not in use
armadio prodotti chimici lasciato aperto,closet chemicals left open
Presenza di anta quadro elettrico aperta,Presence of open electrical panel door
Canna aria lasciata a terra quando non in uso,Barrel air left on the ground when not in use
Carretto di lavoro in disordine,Messy job cart
Ordine e pulizia di reparto migliorabile,Departmental order and cleanliness can be improved
Canna aria a terra quando non utilizzata ,Air to ground rod when not in use 
Ordine banco di lavoro migliorabile,Order Workbench can be improved
Canna aria a terra quando non in uso,Barrel air to ground when not in use
Giubbotto non appeso nell'apposito appendiabiti,Not vest hung in the special hanger
Materiale depositato a terra a rischio inciampo,Material deposited on the ground at risk stumbling
Veicolo parcheggiato parzialmente su strisce pedonali,Vehicle parked partially on crosswalk
Portone Box lasciato parzialmente aperto durante la fase di saldatura,Door Box left partially opened during the sealing phase
Canna aria lasciata a terra a rischio inciampo,Barrel air left on the ground at risk stumbling
Carrello Kit depositato su percorso pedonale,Cart Kit deposited on footpath
Canna aria a terra quando non utilizzata ,Air to ground rod when not in use 
Operatore non sempre utilizza sgabello ergonomico per operazioni sotto cabina,Operator does not always use stool for operations under cab
Carrello Kit depositato su passaggio pedonale,Cart Kit deposited on walkway
Materiale depositato a terra,Material deposited on the ground
Doll system in disordine,
Un operatore non indossa correttamente il berretto di protezione del capo ,An operator is not wearing proper head protection Cap 
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Tubazione aria compressa non  riavvolta qaundo non utilizzata,Compressed air tubing not rewound when not used
Un operatore non indossa correttamente gli occhiali protezione,An operator is not wearing protective eyewear properly
Attrezzo sottogancio (qaundo non utilzzato) lasciato in posizione bassa ,Lifting tool (when not used) left in low position 
Mancato utilizzo dello sgabello ergonomico (quando previsto),Non-use of the stool (if applicable)
Postazione di lavoro leggermente in disordine,Workstation slightly messed up
Migliorabile la pulizia della postazione,Improved workplace cleaning
Tubazione aria compressa inutilizzata a terra non avvolta,Compressed air tubing used for a land shrouded
Effettua operazione di fissaggio perni barra stabilizzatrice in ginocchio,Maintains mounting stabilizer bar pins operation on her knees
"L'operatore non indossa i prescritti DPI (berretto antiurto, occhiali di sicurezza, guanti)","The operator is not wearing the prescribed DPI (shock-proof CAP, goggles, gloves)"
"L’area di deposito materiale / attrezzature che si trova nei nuovi capannoni (corpo B) non è facilmente raggiungibile a causa dell’eccesiva presenza di materiale stoccato a volte, tra l’altro, anche sui percorsi dedicato al passaggio dei mezzi / pedoni","The material/equipment storage area that is located in the new halls (B) is not easily accessible due to the excessive presence of material stored at times, among other things, even on dedicated to the passage of vehicles/pedestrians"
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impiego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be appropriate to start the upgrade training by using, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impiego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be appropriate to start the upgrade training by using, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
Tubazione aria compressa lasciata a terra quando non in uso,Compressed air hose left on the ground when not in use
Il banchetto di lavoro è completamente in disordine,The banquet of work is completely messed up
Tubazione aria compressa lasciata a terra quando non in uso,Compressed air hose left on the ground when not in use
Il banchetto di lavoro è completamente in disordine,The banquet of work is completely messed up
Non risulta effettuata formazione su sicurezza al rientro dalle ferie,Safety training is not made after returning from vacation
Ordine e pulizia del reparto risultano essere migliorabili,Order and cleanliness of the Department appear to be improvable
Durante l'uso del martello l'operatore non indossa gli occhiali di sicurezza,When using the hammer the operator wearing safety goggles
Durante l'uso dell'avvitatore l'operatore non indossa gli occhiali di sicurezza (ma solo i suoi da vista),When using the driver bit operator doesn't wear your safety glasses (but only her eyeglasses)
Non rintraccia subito la scheda DPI,No tracks for the card DPI
Movimentazione ponti con carroponte da svolgere con maggior cautela,Handling with crane bridges to play more cautiously
Giacca appesa ad un SAG anzichè sugli appositi appendini dell'area,Jacket hangs in SAG instead of on the local hangers
Personale che fuma nei bagni di reparto,Staff smoking in the bathrooms of Department
Collega non indossa berretto protettivo,Colleague does not wear protective cap
Alcune tubazioni dell'aria compressa sono a terra quando non in uso,Some compressed air pipes are on the ground when not in use
L'operatore anticipa alcune attività nella Postazione 35,The operator anticipates some activities in 35
L'operatore effettua alcune attività (es. togliere piccoli tappi di plastica)senza i guanti,The operator carries out some activities (eg. remove small plastic plugs) without gloves
L'operatore non rintraccia nell'immediato la scheda DPI di postazione,The operator tracks the immediate emplacement DPI tab
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
Non risulta avviata la formazione di aggiornamento  per uso del  traspallet elettrico ,Is not initiated the formation of update for use of electric pallet 
Per taluni operatori manca formalizzazione formazione di aggiornamento all’uso di attrezzature di lavoro (col manuale d’uso) ,For some operators lacking formalization update training use of work equipment (with the owner's manual) 
Per taluni operatori manca formalizzazione della formazione circa l’uso delle attrezzature di sostegno telai in linea telai,For some operators lacking formalization of training about the use of inline frames frames support equipment
Per taluni operatori manca formalizzazione formazione di aggiornamento all’uso di attrezzature di lavoro (col manuale d’uso) ,For some operators lacking formalization update training use of work equipment (with the owner's manual) 
Carrello abbandonato su strisce pedonali,Abandoned cart on crosswalk
Ripasso formativo su uso DPI,Refresher training on use DPI
Migliorabile ordine e pulizia dell'officina,Improved order and cleanliness of the workshop
Migliorabili ordine e pulizia del reparto,Improved cleanliness and order of the Department
Portone Box aperto durante la fase di saldatura,Open Box door during welding
Movimentazione parabrezza (30 Kg)gravoso se non eseguito nel rispetto della procedura,Handling windshield (30 Kg) burdensome if not executed in accordance with the procedure
Prelievo sedile anteriore ergonomicamente pericoloso (32 Kg),Levy ergonomically front seat dangerous (32 Kg)
Tappeto gomma per abitacolo dx7sx (18 Kg) eronomicamente gravoso,Rubber floor mats for heavy eronomicamente dx7sx cabin (18 Kg)
Movimentazione calandra (28kg)da eseguire tramite 2 operatori,Handling calandra (28 kg) to be executed by 2 operators
Il preposto del  magazzino produzione non dispone  del manuale di uso e manutenzione del nuovo traspallet elettrico ,The person in charge of the warehouse production does not have the owner's Manual of the new electric pallet 
Tubo aspiratore lasciato a terra a rischio inciampo,Vacuum pipe grounded at risk stumbling
Il preposto (montaggio civili) non dispone  del manuale di uso e manutenzione del nuovo traspallet elettrico ,The person in charge (civilians) does not have the owner's Manual of the new electric pallet 
Ordine e pulizia risultano essere migliorabili,Order and cleanliness can be improved
L'addetto non recupera immediatamente la scheda DPI in postazione,The attendant does not recover immediately the card DPI station
Ordine e pulizia del reparto risultano essere migliorabili,Order and cleanliness of the Department appear to be improvable
L'addetto non recupera immediatamente la scheda DPI di postazione,The attendant does not recover immediately the card DPI of computer station
Ordine e pulizia del reparto risultano essere migliorabili,Order and cleanliness of the Department appear to be improvable
Il carrello n°21 risulta parcheggiato fuori posizione creando intralcio ,The cart # 21 is parked out of position creating hindrance 
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
Un operatore avvita sotto cabina senza l'ausilio del seggiolino ergonomico,An operator screws under cab without the help of ergonomic seat
Un operatore sale in cabina mettendo un piede sulla ruota anzichè usare la pedana,A salt cabin attendant putting a foot on the wheel instead of using the platform
Un operatore usa un prodotto chimico (olio) senza indossare i guanti appropriati (rischio chimico),An operator uses a chemical (oil) without wear suitable gloves (chemical)
Alcuni effetti personali (ombrello)risultano appesi al SAG,Some personal belongings (umbrella) are hanging from the SAG
Il banco di lavoro risulta essere in disordine,The Workbench is messed up
Tubazioni aria compressa a terra quando non in uso,Compressed air piping down when not in use
L'operatore avvita sotto al telaio in ginocchio senza usare il seggiolino ergonomico,The operator screwed under the frame on her knees without using the ergonomic seat
L'addetto non rintraccia prontamente la scheda DPI,The clerk did not track promptly the card DPI
Ordine e pulizia risultano migliorabili,Order and cleanliness are improvable
La tubazione dell'aria compressa ostruisce il passaggio perchè non appesa (vincolata) correttamente,The compressed air line blocking step because you don't hang (bound) correctly
"In linea appesi ad un SAG ci sono alcuni effetti personali (ombrello, zainetto, ecc..)","Hanging by a SAG there are some personal belongings (umbrella, rucksack, etc.)"
Presenza di batteria su pallet lasciata allo scoperto,Presence of drums on pallets left out in the open
Percorso pedonale esterno ostruito da materiale,External pedestrian path blocked by material
Il luogo sicuro posto dietro il magazzino (identificato da apposito cartello) è disseminato di materiali vari,The safe place behind the warehouse (identified by visible sign) is littered with various materials
Non risulta avviata la formazione di aggiornamento sull' uso apparecchi di sollevamento e attrezzature sottogancio,Is not initiated the formation of update on using lifting equipment and lifting equipment
Non risulta avviata la formazione di aggiornamento sulla Movimentazione Manuale dei Carichi ,Is not started training on manual handling of loads 
Non risulta avviata la formazione di aggiornamento sull' uso apparecchi di sollevamento e attrezzature sottogancio,Is not initiated the formation of update on using lifting equipment and lifting equipment
"per taluni operatori, sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo delle attrezzature quali: sgabelli, lettini sottomacchina, scale, pedane, ecc.","for certain operators, it would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of equipment such as stools, loungers sottomacchina, stairs, platforms, etc."
"Per taluni operatori, sarebbe opportuno avviare la formalizzazione della formazione di aggiornamento con l’impego, tra l’altro,  della IdL HSE 09  ""CONDUZIONE E MANOVRA DEI MEZZI DI TRASPORTO""","For certain operators, it would be appropriate to start the formalization of training through, inter alia, the use of the IdL HSE 09" operation and MOVEMENT of MEANS of TRANSPORT "" "
"Attualmente non è disponibile un SOP specifica che rappresenta le corrette modalità di utilizzo dell’avvitatore pneumatico serraggio dadi ruota,  veicolo RD 40.","Currently there is no SOP specifies that represents the correct ways to use the pneumatic screwdriver tightening wheel nuts, vehicle RD 40."
Il banchetto di lavoro risulta essere in disordine,The banquet is being messed up
Mancano ordine e pulizia a terra,Missing order and cleanliness to the ground
Banchetto di lavoro in disordine ,Business banquet in disorder 
Quando usa la Loctite l'operatore non indossa i guanti per prodotti chimici,When using Loctite the operator wearing gloves for chemicals
L'operatore non indossa occhiali protettivi quando usa l'avvitatore,The operator is not wearing glasses when using the screwdriver
Ordine e pulizia dell'area risultano essere migliorabili,Order and tidiness of the area appear to be improvable
Chiave a cricchetto appoggiata su carrello sostegno cabina,Ratchet wrench resting on support cabin trolley
Non risulta avviata la formazione di aggiornamento sull' uso apparecchi di sollevamento e attrezzature sottogancio,Is not initiated the formation of update on using lifting equipment and lifting equipment
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo delle attrezzature quali: sgabelli, lettini sottomacchina, scale, pedane, ecc.","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of equipment such as stools, loungers sottomacchina, stairs, platforms, etc."
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
Non risulta avviata la formazione di aggiornamento sulla Movimentazione Manuale dei Carichi ,Is not started training on manual handling of loads 
Non risulta avviata la formazione di aggiornamento sull’ uso delle macchine,Is not initiated the formation of update on the use of machines
Giubbotto appeso su transenna,Vest hung on hurdle
Fusto olio depositato su strisce pedonali,Oil deposited on the crosswalk
Chiavi depositate su scala,Keys deposited at scale
Imballo a terra a rischio inciampo,Packaging on the ground at risk stumbling
Banchetto in disordine,Banquet in disorder
Aspiratore a terra quando inutilizzato,Vacuum cleaner on the ground when not in use
Catene carroponte depositate a terra a rischio inciampo,Crane chains deposited on the ground at risk stumbling
Ordine e pulizia migliorabili,Order and cleanliness can be improved
Guarnizioni vetro portiera appese su cassone,Glass door seals hung on platform truck
Radio accesa a lato linea,Radio on line side
Banchetto in disordine,Banquet in disorder
Fermi carrelli cabina lasciati a terra a rischio inciampo,Stranded cabin trolley stops at risk stumbling
Tergicristalli depositati su bidoni spazzamento,Wipers deposited on sweeping bins
Materiale a terra a rischio inciampo,Material on the ground at risk stumbling
Cerniere portiera depositate su carrello sedile,Door hinges deposited on cart seat
"SGANCIATO RIMORCHIO DAL TRASPORTATORE ALBASI IN CORRISPONDENZA DI UNA CURVA, IN PROSSIMITA' DI UN CARTELLO DI STOP, SUL PASSAGGIO PEDONALE, DAVANTI AL REPARTO DUMPER E ALLA PALAZZINA PRODUZIONE","UNHITCHED THE TRAILER BY CARRIER ALBASI AT A CURVE, APPROACHING A STOP SIGN, ON THE WALKWAY IN FRONT OF THE DUMPER AND BUILDING PRODUCTION DEPARTMENT"
Non risulta avviata la formazione di aggiornamento sull' uso apparecchi di sollevamento e attrezzature sottogancio,Is not initiated the formation of update on using lifting equipment and lifting equipment
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo delle attrezzature quali: sgabelli, lettini sottomacchina, scale, pedane, ecc.","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of equipment such as stools, loungers sottomacchina, stairs, platforms, etc."
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
Non risulta formalizzata la formazione all'uso dell'attrezzo per la ricarica dei condizionatori,Is not formalized training in the use of the tool for charging of air conditioners
Non risulta avviata la formazione di aggiornamento sull' uso apparecchi di sollevamento e attrezzature sottogancio,Is not initiated the formation of update on using lifting equipment and lifting equipment
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo delle attrezzature quali: sgabelli, lettini sottomacchina, scale, pedane, ecc.","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of equipment such as stools, loungers sottomacchina, stairs, platforms, etc."
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
Non risulta formalizzata la formazione all'uso dell'attrezzo per la ricarica dei condizionatori,Is not formalized training in the use of the tool for charging of air conditioners
Non risulta avviata la formazione di aggiornamento sull' uso apparecchi di sollevamento e attrezzature sottogancio,Is not initiated the formation of update on using lifting equipment and lifting equipment
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo delle attrezzature quali: sgabelli, lettini sottomacchina, scale, pedane, ecc.","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of equipment such as stools, loungers sottomacchina, stairs, platforms, etc."
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
Non risulta avviata la formazione di aggiornamento sulla Movimentazione Manuale dei Carichi ,Is not started training on manual handling of loads 
Non risulta avviata la formazione di aggiornamento sull’ uso delle macchine,Is not initiated the formation of update on the use of machines
Non risulta completata e formalizzata la  formazione sull’uso delle nuove attrezzature di sostegno / rotazione dei telai recentemente introdotte sulla linea telai ,Is not completed and formalized training on the use of new equipment/rotating frames recently introduced on line frames 
Non risulta avviata la formazione di aggiornamento sull' uso apparecchi di sollevamento e attrezzature sottogancio,Is not initiated the formation of update on using lifting equipment and lifting equipment
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo delle attrezzature quali: sgabelli, lettini sottomacchina, scale, pedane, ecc.","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of equipment such as stools, loungers sottomacchina, stairs, platforms, etc."
"Sarebbe opportuno avviare la formazione di aggiornamento con l’impego, tra l’altro,  delle OPL applicabili, circa il corretto e costante utilizzo di avvitatori, smerigliatrici, trapani, utensili, ecc","It would be advisable to start training with the commitment, inter alia, of the OPL applicable, about the proper and consistent use of screwdrivers, grinders, drills, tools, etc."
Non risulta avviata la formazione di aggiornamento sulla Movimentazione Manuale dei Carichi ,Is not started training on manual handling of loads 
Non risulta avviata la formazione di aggiornamento sull’ uso delle macchine,Is not initiated the formation of update on the use of machines
Durante il serraggio sotto il telaio l'operatore non usa il seggiolino,Under the frame while tightening the operator does not use the car seat
Migliorabili ordine e pulizia dell'area,Improved order and cleanliness of the area
Operatore utilizza avvitatore senza guanti,Operator uses screwdriver without gloves
Presenza di tubazioni dell'aria a terra,Presence of air pipes in the ground
L'operatore non rintraccia immediatamente la scheda DPI,The operator tracks the card immediately DPI
L'operatore non rintraccia nell'immediato la scheda di sicurezza dei prodotti chimici,The operator tracks the immediate chemical safety data sheet
Materiale presente sul pavimento,Material on the floor
Presenza di due flaconi di Loctite depositati su telaio,Presence of two vials of Loctite deposited on trays
"Durante l'uso della macchina scaldacuscinetti, l'operatore non chiude la griglia protettiva","Scaldacuscinetti when using the machine, the operator does not close the protective Grill"
L'operatore non rintraccia immediatamente la scheda di DPI ,The operator tracks the card immediately by DPI 
Il carrellino porta cavi si trova fuori dalla posizione prestabilita,The cable cart is outside the preset position
Tubo di rame alettato interno telaio non protetto dall'apposito corrugato,Inner finned copper tube unprotected from the corrugated frame
Il carrellino porta utensili si trova in disordine,The tool trolley is messed up
Tubazioni aria lasciate a terra quando non in uso,Piping air left on the ground when not in use
Ordine e pulizia migliorabili,Order and cleanliness can be improved
Imballo a terra a rischio inciampo,Packaging on the ground at risk stumbling
Tubo aria lasciato a a terra a reischi inciampo,Air hose left on the ground to reischi tripping
Paraurti anteriore poggiato su veicolo,Front bumper on vehicle
Tubo aria lasciato a terra a rischio inciampo,Air hose left on the ground at risk stumbling
Berretto antiurto depositato dentro odette,Shock Cap settled in odette
Tubi ferro poggiati su cassone,Iron pipes resting on platform truck
"L'attività ""5S"" risulta essere migliorabile","5S" activities "turns out to be room for improvement"
L'addetto alla verifica rifornimento gasolio non presidia l'attività di rifornimento da parte del fornitore,The guy at the check refuelling refuelling activity monitors not by supplier
L'operatore non recupera tempestivamente la scheda DPI della postazione,The operator retrieves the workplace tab DPI
Sul banchetto di lavoro ci sono troppi articoli da premontare ,On the feast of work there are too many items to assemble 
Tubo aria compressa non riavvolto dopo l'uso,Compressed air tube not rewound after use
Contenitore silenziatore lasciato a bordo linea,Silencer left aboard container line
Asta movimentazione motore depositata lato linea a rischio inciampo,Auction engine handling risky line side settled stumbling
Tubi pneumatici lasciati a terra a rischio inciampo,Pneumatic tubes left stranded at risk stumbling
Pneumatico appoggiato contro cassone rifiuti,Tire against waste dump
